acsf_model(name='t6',
           num_molecules=100000,
           acsf_Gs=acsf_Gs(G2_params=[(0.4, 0.2), (0.6, 0.2)],
                           G4_params=[(0.4, 2, 1), (0.6, 2, 1), (0.6, 2, -1)],
                           Rc=5.0),
           paths=paths(data_path='data/t3.pkl',
                       model_path='results/t6',
                       plot_path='plots/t6',
                       linear_model='results/t6_linear'),
           results=results(avg_dif=0, mae=0, max_d=0),
           nn_props=nn_props(nodes=[64, 64, 32, 1],
                             batch_size=32,
                             epochs=400,
                             learning_rate=0.001))
found data at data/t3.pkl
Number of Molecules: 100000
RMSE of least squares fitting: 11.223900352298045
MAE of least squares fitting : 8.306690234500989
starting training...
Epoch,	Training E,	 Validation E	 Estimated Time Left
1,	 1.121850e+02,	 1.051058e+02	 29.96 Hours
2,	 9.754089e+01,	 9.088838e+01	 29.90 Hours
3,	 8.449258e+01,	 8.074606e+01	 29.83 Hours
4,	 7.602212e+01,	 7.296198e+01	 29.76 Hours
5,	 6.991411e+01,	 6.720493e+01	 29.68 Hours
6,	 6.472224e+01,	 6.236893e+01	 29.61 Hours
7,	 6.146434e+01,	 6.008302e+01	 29.53 Hours
8,	 5.922472e+01,	 5.824717e+01	 29.46 Hours
9,	 5.746361e+01,	 5.737049e+01	 29.39 Hours
10,	 5.599462e+01,	 5.619161e+01	 29.32 Hours
11,	 5.462523e+01,	 5.489037e+01	 29.25 Hours
12,	 5.340107e+01,	 5.476340e+01	 29.18 Hours
13,	 5.230929e+01,	 5.462410e+01	 29.11 Hours
14,	 5.129880e+01,	 5.385838e+01	 29.03 Hours
15,	 5.044395e+01,	 5.227823e+01	 28.96 Hours
16,	 4.964535e+01,	 5.165852e+01	 28.89 Hours
17,	 4.889201e+01,	 5.035847e+01	 28.81 Hours
18,	 4.828724e+01,	 4.944240e+01	 28.74 Hours
19,	 4.770106e+01,	 4.812984e+01	 28.67 Hours
20,	 4.708605e+01,	 4.698603e+01	 28.60 Hours
21,	 4.654050e+01,	 4.705273e+01	 28.52 Hours
22,	 4.598981e+01,	 4.609502e+01	 28.45 Hours
23,	 4.551171e+01,	 4.520619e+01	 28.37 Hours
24,	 4.491509e+01,	 4.470725e+01	 28.30 Hours
25,	 4.448457e+01,	 4.392802e+01	 28.23 Hours
26,	 4.400321e+01,	 4.350960e+01	 28.15 Hours
27,	 4.356155e+01,	 4.310548e+01	 28.08 Hours
28,	 4.318791e+01,	 4.269110e+01	 28.01 Hours
29,	 4.272978e+01,	 4.257077e+01	 27.93 Hours
